name,sex,age,year,population
ENGLAND,M,18,2011,343292
ENGLAND,M,19,2011,353225
ENGLAND,M,20,2011,367865
ENGLAND,M,21,2011,365145
ENGLAND,M,22,2011,361147
ENGLAND,M,23,2011,365775
ENGLAND,M,24,2011,355616
ENGLAND,M,25,2011,366281
ENGLAND,M,26,2011,369475
ENGLAND,M,27,2011,361162
ENGLAND,M,28,2011,364040
ENGLAND,M,29,2011,364966
ENGLAND,M,30,2011,369450
ENGLAND,M,31,2011,371850
ENGLAND,M,32,2011,358647
ENGLAND,M,33,2011,335139
ENGLAND,M,34,2011,330196
ENGLAND,M,35,2011,334046
ENGLAND,F,18,2011,328402
ENGLAND,F,19,2011,344892
ENGLAND,F,20,2011,352013
ENGLAND,F,21,2011,348719
ENGLAND,F,22,2011,353545
ENGLAND,F,23,2011,364530
ENGLAND,F,24,2011,361906
ENGLAND,F,25,2011,363974
ENGLAND,F,26,2011,367342
ENGLAND,F,27,2011,362221
ENGLAND,F,28,2011,368114
ENGLAND,F,29,2011,369652
ENGLAND,F,30,2011,372454
ENGLAND,F,31,2011,373219
ENGLAND,F,32,2011,357375
ENGLAND,F,33,2011,332978
ENGLAND,F,34,2011,327842
ENGLAND,F,35,2011,334931
WALES,M,18,2011,20191
WALES,M,19,2011,21686
WALES,M,20,2011,23749
WALES,M,21,2011,22780
WALES,M,22,2011,21826
WALES,M,23,2011,20981
WALES,M,24,2011,19724
WALES,M,25,2011,19549
WALES,M,26,2011,19269
WALES,M,27,2011,18418
WALES,M,28,2011,18495
WALES,M,29,2011,18051
WALES,M,30,2011,18586
WALES,M,31,2011,18726
WALES,M,32,2011,17734
WALES,M,33,2011,16156
WALES,M,34,2011,16484
WALES,M,35,2011,16406
WALES,F,18,2011,19606
WALES,F,19,2011,21864
WALES,F,20,2011,22268
WALES,F,21,2011,21257
WALES,F,22,2011,20777
WALES,F,23,2011,20011
WALES,F,24,2011,19203
WALES,F,25,2011,18611
WALES,F,26,2011,18835
WALES,F,27,2011,18088
WALES,F,28,2011,18211
WALES,F,29,2011,18141
WALES,F,30,2011,18496
WALES,F,31,2011,18715
WALES,F,32,2011,17495
WALES,F,33,2011,16552
WALES,F,34,2011,16253
WALES,F,35,2011,16641
SCOTLAND,M,18,2011,33467
SCOTLAND,M,19,2011,36402
SCOTLAND,M,20,2011,37785
SCOTLAND,M,21,2011,36354
SCOTLAND,M,22,2011,36117
SCOTLAND,M,23,2011,36710
SCOTLAND,M,24,2011,35129
SCOTLAND,M,25,2011,35166
SCOTLAND,M,26,2011,34410
SCOTLAND,M,27,2011,33302
SCOTLAND,M,28,2011,33649
SCOTLAND,M,29,2011,33865
SCOTLAND,M,30,2011,34091
SCOTLAND,M,31,2011,33372
SCOTLAND,M,32,2011,32617
SCOTLAND,M,33,2011,29904
SCOTLAND,M,34,2011,29660
SCOTLAND,M,35,2011,31290
SCOTLAND,F,18,2011,33036
SCOTLAND,F,19,2011,36620
SCOTLAND,F,20,2011,37513
SCOTLAND,F,21,2011,36386
SCOTLAND,F,22,2011,36450
SCOTLAND,F,23,2011,37038
SCOTLAND,F,24,2011,36098
SCOTLAND,F,25,2011,35492
SCOTLAND,F,26,2011,35491
SCOTLAND,F,27,2011,34274
SCOTLAND,F,28,2011,35002
SCOTLAND,F,29,2011,35698
SCOTLAND,F,30,2011,35146
SCOTLAND,F,31,2011,34479
SCOTLAND,F,32,2011,33073
SCOTLAND,F,33,2011,31212
SCOTLAND,F,34,2011,30232
SCOTLAND,F,35,2011,32242
NORTHERN IRELAND,M,18,2011,12810
NORTHERN IRELAND,M,19,2011,12783
NORTHERN IRELAND,M,20,2011,12755
NORTHERN IRELAND,M,21,2011,12649
NORTHERN IRELAND,M,22,2011,12628
NORTHERN IRELAND,M,23,2011,12603
NORTHERN IRELAND,M,24,2011,12696
NORTHERN IRELAND,M,25,2011,12535
NORTHERN IRELAND,M,26,2011,12535
NORTHERN IRELAND,M,27,2011,12244
NORTHERN IRELAND,M,28,2011,12078
NORTHERN IRELAND,M,29,2011,12043
NORTHERN IRELAND,M,30,2011,12341
NORTHERN IRELAND,M,31,2011,12370
NORTHERN IRELAND,M,32,2011,11580
NORTHERN IRELAND,M,33,2011,11280
NORTHERN IRELAND,M,34,2011,11154
NORTHERN IRELAND,M,35,2011,11270
NORTHERN IRELAND,F,18,2011,12506
NORTHERN IRELAND,F,19,2011,12234
NORTHERN IRELAND,F,20,2011,12097
NORTHERN IRELAND,F,21,2011,12091
NORTHERN IRELAND,F,22,2011,12238
NORTHERN IRELAND,F,23,2011,12560
NORTHERN IRELAND,F,24,2011,12729
NORTHERN IRELAND,F,25,2011,12813
NORTHERN IRELAND,F,26,2011,12777
NORTHERN IRELAND,F,27,2011,12711
NORTHERN IRELAND,F,28,2011,12646
NORTHERN IRELAND,F,29,2011,12615
NORTHERN IRELAND,F,30,2011,12955
NORTHERN IRELAND,F,31,2011,12957
NORTHERN IRELAND,F,32,2011,12515
NORTHERN IRELAND,F,33,2011,11888
NORTHERN IRELAND,F,34,2011,11687
NORTHERN IRELAND,F,35,2011,11757
ENGLAND,M,18,2022,339142
ENGLAND,M,19,2022,339234
ENGLAND,M,20,2022,338398
ENGLAND,M,21,2022,338465
ENGLAND,M,22,2022,345338
ENGLAND,M,23,2022,358287
ENGLAND,M,24,2022,360304
ENGLAND,M,25,2022,365799
ENGLAND,M,26,2022,360324
ENGLAND,M,27,2022,364086
ENGLAND,M,28,2022,372653
ENGLAND,M,29,2022,372807
ENGLAND,M,30,2022,383710
ENGLAND,M,31,2022,389563
ENGLAND,M,32,2022,387640
ENGLAND,M,33,2022,384620
ENGLAND,M,34,2022,387905
ENGLAND,M,35,2022,378829
ENGLAND,F,18,2022,318297
ENGLAND,F,19,2022,319325
ENGLAND,F,20,2022,325075
ENGLAND,F,21,2022,327194
ENGLAND,F,22,2022,333614
ENGLAND,F,23,2022,350669
ENGLAND,F,24,2022,358581
ENGLAND,F,25,2022,367839
ENGLAND,F,26,2022,363988
ENGLAND,F,27,2022,374022
ENGLAND,F,28,2022,387522
ENGLAND,F,29,2022,390671
ENGLAND,F,30,2022,404331
ENGLAND,F,31,2022,410921
ENGLAND,F,32,2022,413176
ENGLAND,F,33,2022,411450
ENGLAND,F,34,2022,417983
ENGLAND,F,35,2022,409203
WALES,M,18,2022,18017
WALES,M,19,2022,19417
WALES,M,20,2022,19289
WALES,M,21,2022,19474
WALES,M,22,2022,18984
WALES,M,23,2022,19206
WALES,M,24,2022,18420
WALES,M,25,2022,19233
WALES,M,26,2022,18501
WALES,M,27,2022,18244
WALES,M,28,2022,18718
WALES,M,29,2022,18741
WALES,M,30,2022,19281
WALES,M,31,2022,19515
WALES,M,32,2022,19458
WALES,M,33,2022,19264
WALES,M,34,2022,19522
WALES,M,35,2022,19136
WALES,F,18,2022,16850
WALES,F,19,2022,17351
WALES,F,20,2022,18019
WALES,F,21,2022,17821
WALES,F,22,2022,17479
WALES,F,23,2022,17998
WALES,F,24,2022,18274
WALES,F,25,2022,18882
WALES,F,26,2022,18155
WALES,F,27,2022,18625
WALES,F,28,2022,19202
WALES,F,29,2022,19368
WALES,F,30,2022,20402
WALES,F,31,2022,20763
WALES,F,32,2022,20100
WALES,F,33,2022,20407
WALES,F,34,2022,20866
WALES,F,35,2022,20442
SCOTLAND,M,18,2022,30460
SCOTLAND,M,19,2022,33075
SCOTLAND,M,20,2022,32831
SCOTLAND,M,21,2022,33592
SCOTLAND,M,22,2022,35334
SCOTLAND,M,23,2022,34127
SCOTLAND,M,24,2022,33022
SCOTLAND,M,25,2022,33589
SCOTLAND,M,26,2022,32755
SCOTLAND,M,27,2022,32650
SCOTLAND,M,28,2022,33522
SCOTLAND,M,29,2022,33319
SCOTLAND,M,30,2022,34463
SCOTLAND,M,31,2022,35635
SCOTLAND,M,32,2022,34289
SCOTLAND,M,33,2022,34483
SCOTLAND,M,34,2022,35352
SCOTLAND,M,35,2022,34037
SCOTLAND,F,18,2022,28828
SCOTLAND,F,19,2022,32807
SCOTLAND,F,20,2022,33268
SCOTLAND,F,21,2022,34057
SCOTLAND,F,22,2022,35751
SCOTLAND,F,23,2022,35264
SCOTLAND,F,24,2022,34125
SCOTLAND,F,25,2022,34338
SCOTLAND,F,26,2022,33751
SCOTLAND,F,27,2022,33459
SCOTLAND,F,28,2022,34903
SCOTLAND,F,29,2022,35393
SCOTLAND,F,30,2022,36656
SCOTLAND,F,31,2022,37177
SCOTLAND,F,32,2022,36298
SCOTLAND,F,33,2022,36296
SCOTLAND,F,34,2022,37191
SCOTLAND,F,35,2022,35765
NORTHERN IRELAND,M,18,2022,12018
NORTHERN IRELAND,M,19,2022,11066
NORTHERN IRELAND,M,20,2022,10472
NORTHERN IRELAND,M,21,2022,10502
NORTHERN IRELAND,M,22,2022,10701
NORTHERN IRELAND,M,23,2022,11426
NORTHERN IRELAND,M,24,2022,11598
NORTHERN IRELAND,M,25,2022,11648
NORTHERN IRELAND,M,26,2022,11625
NORTHERN IRELAND,M,27,2022,11565
NORTHERN IRELAND,M,28,2022,11440
NORTHERN IRELAND,M,29,2022,11561
NORTHERN IRELAND,M,30,2022,11828
NORTHERN IRELAND,M,31,2022,11923
NORTHERN IRELAND,M,32,2022,12234
