,name,sex,age,year,population
0,ENGLAND,M,18,population_2011,343292
1,ENGLAND,M,19,population_2011,353225
2,ENGLAND,M,20,population_2011,367865
3,ENGLAND,M,21,population_2011,365145
4,ENGLAND,M,22,population_2011,361147
5,ENGLAND,M,23,population_2011,365775
6,ENGLAND,M,24,population_2011,355616
7,ENGLAND,M,25,population_2011,366281
8,ENGLAND,M,26,population_2011,369475
9,ENGLAND,M,27,population_2011,361162
10,ENGLAND,M,28,population_2011,364040
11,ENGLAND,M,29,population_2011,364966
12,ENGLAND,M,30,population_2011,369450
13,ENGLAND,M,31,population_2011,371850
14,ENGLAND,M,32,population_2011,358647
15,ENGLAND,M,33,population_2011,335139
16,ENGLAND,M,34,population_2011,330196
17,ENGLAND,M,35,population_2011,334046
18,ENGLAND,F,18,population_2011,328402
19,ENGLAND,F,19,population_2011,344892
20,ENGLAND,F,20,population_2011,352013
21,ENGLAND,F,21,population_2011,348719
22,ENGLAND,F,22,population_2011,353545
23,ENGLAND,F,23,population_2011,364530
24,ENGLAND,F,24,population_2011,361906
25,ENGLAND,F,25,population_2011,363974
26,ENGLAND,F,26,population_2011,367342
27,ENGLAND,F,27,population_2011,362221
28,ENGLAND,F,28,population_2011,368114
29,ENGLAND,F,29,population_2011,369652
30,ENGLAND,F,30,population_2011,372454
31,ENGLAND,F,31,population_2011,373219
32,ENGLAND,F,32,population_2011,357375
33,ENGLAND,F,33,population_2011,332978
34,ENGLAND,F,34,population_2011,327842
35,ENGLAND,F,35,population_2011,334931
36,WALES,M,18,population_2011,20191
37,WALES,M,19,population_2011,21686
38,WALES,M,20,population_2011,23749
39,WALES,M,21,population_2011,22780
40,WALES,M,22,population_2011,21826
41,WALES,M,23,population_2011,20981
42,WALES,M,24,population_2011,19724
43,WALES,M,25,population_2011,19549
44,WALES,M,26,population_2011,19269
45,WALES,M,27,population_2011,18418
46,WALES,M,28,population_2011,18495
47,WALES,M,29,population_2011,18051
48,WALES,M,30,population_2011,18586
49,WALES,M,31,population_2011,18726
50,WALES,M,32,population_2011,17734
51,WALES,M,33,population_2011,16156
52,WALES,M,34,population_2011,16484
53,WALES,M,35,population_2011,16406
54,WALES,F,18,population_2011,19606
55,WALES,F,19,population_2011,21864
56,WALES,F,20,population_2011,22268
57,WALES,F,21,population_2011,21257
58,WALES,F,22,population_2011,20777
59,WALES,F,23,population_2011,20011
60,WALES,F,24,population_2011,19203
61,WALES,F,25,population_2011,18611
62,WALES,F,26,population_2011,18835
63,WALES,F,27,population_2011,18088
64,WALES,F,28,population_2011,18211
65,WALES,F,29,population_2011,18141
66,WALES,F,30,population_2011,18496
67,WALES,F,31,population_2011,18715
68,WALES,F,32,population_2011,17495
69,WALES,F,33,population_2011,16552
70,WALES,F,34,population_2011,16253
71,WALES,F,35,population_2011,16641
72,SCOTLAND,M,18,population_2011,33467
73,SCOTLAND,M,19,population_2011,36402
74,SCOTLAND,M,20,population_2011,37785
75,SCOTLAND,M,21,population_2011,36354
76,SCOTLAND,M,22,population_2011,36117
77,SCOTLAND,M,23,population_2011,36710
78,SCOTLAND,M,24,population_2011,35129
79,SCOTLAND,M,25,population_2011,35166
80,SCOTLAND,M,26,population_2011,34410
81,SCOTLAND,M,27,population_2011,33302
82,SCOTLAND,M,28,population_2011,33649
83,SCOTLAND,M,29,population_2011,33865
84,SCOTLAND,M,30,population_2011,34091
